[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[39]TunnelRotatingLasersPair (8).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[4]FakeMirrorSettings
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[40]TunnelRotatingLasersPair (9).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[41]TunnelRotatingLasersPair (10).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[42]TunnelRotatingLasersPair (11).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[43]TunnelRotatingLasersPair (12).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[44]TunnelRotatingLasersPair (13).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[0]BaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[0]BaseL.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[0]BaseL.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[1]BaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[1]BaseR.[0]Laser
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[45]TunnelRotatingLasersPair (14).[1]BaseR.[0]Laser.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[46]BottomPairLasers.[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[47]BottomPairLasers (1).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[48]BottomPairLasers (2).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[49]BottomPairLasers (3).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[5]BSRealtimeLightmapping
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[50]BottomPairLasers (4).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[51]BottomPairLasers (5).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[52]BottomPairLasers (6).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[53]BottomPairLasers (7).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8)
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[0]PillarL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[0]PillarL.[0]RotationBaseL
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[0]PillarL.[0]RotationBaseL.[0]LaserLH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[0]PillarL.[0]RotationBaseL.[0]LaserLH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[1]PillarR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[1]PillarR.[0]RotationBaseR
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[1]PillarR.[0]RotationBaseR.[0]LaserRH
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[0]BakedBloom
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[54]BottomPairLasers (8).[1]PillarR.[0]RotationBaseR.[0]LaserRH.[1]BoxLight
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[55]====== EDITOR ONLY ======
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[6]BakedReflectionProbe
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds.[0]1
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds.[1]2
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds.[2]3
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds.[3]4
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[7]LightmapLightsWithIds.[4]5
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[8]CoreLighting
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[8]CoreLighting.[0]LightManager
[DEBUG @ 18:57:41 | Chroma] BillieEnvironment.[0]Environment.[9]LightWithIdManager
